model,filename,Correct,Human,Error
detectors_htc_r50,image_0000.jpg,True,False,False
detectors_htc_r50,image_0001.jpg,False,True,False
detectors_htc_r50,image_0002.jpg,False,True,False
detectors_htc_r50,image_0003.jpg,True,True,False
detectors_htc_r50,image_0004.jpg,False,True,False
detectors_htc_r50,image_0005.jpg,False,True,False
detectors_htc_r50,image_0006.jpg,False,False,True
detectors_htc_r50,image_0007.jpg,False,False,True
detectors_htc_r50,image_0008.jpg,False,True,False
detectors_htc_r50,image_0009.jpg,True,False,False
detectors_htc_r50,image_0010.jpg,True,False,False
detectors_htc_r50,image_0011.jpg,False,True,False
detectors_htc_r50,image_0012.jpg,True,False,False
detectors_htc_r50,image_0013.jpg,False,True,False
detectors_htc_r50,image_0014.jpg,True,False,False
detectors_htc_r50,image_0015.jpg,True,False,False
detectors_htc_r50,image_0016.jpg,False,True,False
detectors_htc_r50,image_0017.jpg,True,False,False
detectors_htc_r50,image_0018.jpg,False,True,False
detectors_htc_r50,image_0019.jpg,True,False,False
detectors_htc_r50,image_0020.jpg,False,True,False
detectors_htc_r50,image_0021.jpg,False,True,False
detectors_htc_r50,image_0022.jpg,True,False,False
detectors_htc_r50,image_0023.jpg,True,False,False
detectors_htc_r50,image_0024.jpg,False,True,False
detectors_htc_r50,image_0025.jpg,False,True,False
detectors_htc_r50,image_0026.jpg,True,False,False
detectors_htc_r50,image_0027.jpg,False,False,True
detectors_htc_r50,image_0028.jpg,False,False,True
detectors_htc_r50,image_0029.jpg,True,False,False
detectors_htc_r50,image_0030.jpg,False,True,False
detectors_htc_r50,image_0031.jpg,False,False,True
detectors_htc_r50,image_0032.jpg,False,True,False
detectors_htc_r50,image_0033.jpg,False,False,True
detectors_htc_r50,image_0034.jpg,False,True,False
detectors_htc_r50,image_0035.jpg,False,True,False
detectors_htc_r50,image_0036.jpg,True,False,False
detectors_htc_r50,image_0037.jpg,True,False,False
detectors_htc_r50,image_0038.jpg,True,True,False
detectors_htc_r50,image_0039.jpg,False,False,True
detectors_htc_r50,image_0040.jpg,False,False,True
detectors_htc_r50,image_0041.jpg,False,True,False
detectors_htc_r50,image_0042.jpg,False,True,False
detectors_htc_r50,image_0043.jpg,True,False,False
detectors_htc_r50,image_0044.jpg,False,True,False
detectors_htc_r50,image_0045.jpg,False,True,False
detectors_htc_r50,image_0046.jpg,False,False,True
detectors_htc_r50,image_0047.jpg,True,False,False
detectors_htc_r50,image_0048.jpg,True,False,False
detectors_htc_r50,image_0049.jpg,False,True,False
detectors_htc_r50,image_0050.jpg,True,False,False
detectors_htc_r50,image_0051.jpg,False,False,True
detectors_htc_r50,image_0052.jpg,True,False,False
detectors_htc_r50,image_0053.jpg,False,True,False
detectors_htc_r50,image_0054.jpg,True,False,False
detectors_htc_r50,image_0055.jpg,False,True,False
detectors_htc_r50,image_0056.jpg,False,True,False
detectors_htc_r50,image_0057.jpg,False,True,False
detectors_htc_r50,image_0058.jpg,False,False,True
detectors_htc_r50,image_0059.jpg,False,True,False
detectors_htc_r50,image_0060.jpg,False,False,True
detectors_htc_r50,image_0061.jpg,False,True,False
detectors_htc_r50,image_0062.jpg,False,True,False
detectors_htc_r50,image_0063.jpg,False,False,True
detectors_htc_r50,image_0064.jpg,False,True,False
detectors_htc_r50,image_0065.jpg,False,False,True
detectors_htc_r50,image_0066.jpg,False,True,False
detectors_htc_r50,image_0067.jpg,False,False,True
detectors_htc_r50,image_0068.jpg,False,False,True
detectors_htc_r50,image_0069.jpg,True,False,False
detectors_htc_r50,image_0070.jpg,False,True,False
